target,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_center_mean,mean,constant:mean:fit=train,test,26,1.494768,1.285668,0.011467,0.266051,2.976012,1.494768
target_center_mean,mean,constant:mean:fit=train,train,76,5.081233,2.509268,0.038813,0.108871,6.837582,5.081233
target_center_mean,mean,constant:mean:fit=train,val,26,1.467979,1.244967,0.011301,0.247314,1.713085,1.467979
target_center_mean,knn,model:knn:fit=train,test,26,7.068330,4.171846,0.054224,1.258079,15.480875,7.068330
target_center_mean,knn,model:knn:fit=train,train,76,3.778082,1.574573,0.028859,0.080949,2.821681,3.778082
target_center_mean,knn,model:knn:fit=train,val,26,5.357969,2.846495,0.041248,0.902670,11.675310,5.357969
target_center_mean,extra_trees,model:extra_trees:fit=train,test,26,15.254885,10.844571,0.117026,2.715188,25.105539,15.254885
target_center_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_center_mean,extra_trees,model:extra_trees:fit=train,val,26,13.519093,9.544589,0.104077,2.277595,21.871488,13.519093
target_center_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,2.647697,2.136617,0.020312,0.471258,5.704880,2.647697
target_center_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.975618,1.608846,0.030368,0.085182,3.153411,3.975618
target_center_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.217408,1.837193,0.017071,0.373572,4.451514,2.217408
target_periphery_mean,mean,constant:mean:fit=train,test,26,0.788815,0.686602,0.007605,0.440668,1.266225,0.788815
target_periphery_mean,mean,constant:mean:fit=train,train,76,2.956462,1.599863,0.028589,0.116687,4.367443,2.956462
target_periphery_mean,mean,constant:mean:fit=train,val,26,0.802996,0.725200,0.007758,0.322944,1.185836,0.802996
target_periphery_mean,knn,model:knn:fit=train,test,26,4.419541,2.991511,0.042607,2.468957,7.032506,4.419541
target_periphery_mean,knn,model:knn:fit=train,train,76,2.006820,0.858698,0.019406,0.079206,1.725291,2.006820
target_periphery_mean,knn,model:knn:fit=train,val,26,3.565189,2.248936,0.034443,1.433825,5.008705,3.565189
target_periphery_mean,extra_trees,model:extra_trees:fit=train,test,26,7.442664,5.596335,0.071752,4.157810,10.699226,7.442664
target_periphery_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_periphery_mean,extra_trees,model:extra_trees:fit=train,val,26,6.956452,5.221808,0.067206,2.797702,8.489967,6.956452
target_periphery_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.854143,1.692229,0.017875,1.035809,2.443428,1.854143
target_periphery_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.216938,0.864149,0.021438,0.087499,1.649277,2.216938
target_periphery_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.994626,1.802244,0.019270,0.802186,2.821171,1.994626
target_center_periphery_contrast,mean,constant:mean:fit=train,test,26,1.616620,1.327491,0.060644,0.287850,2.008482,1.616620
target_center_periphery_contrast,mean,constant:mean:fit=train,train,76,2.475157,1.285895,0.089818,0.109414,4.041212,2.475157
target_center_periphery_contrast,mean,constant:mean:fit=train,val,26,1.592342,1.226242,0.060294,0.346778,0.849047,1.592342
target_center_periphery_contrast,knn,model:knn:fit=train,test,26,2.899530,1.708662,0.108770,0.516281,7.238995,2.899530
target_center_periphery_contrast,knn,model:knn:fit=train,train,76,2.059458,1.061707,0.074733,0.091038,3.884762,2.059458
target_center_periphery_contrast,knn,model:knn:fit=train,val,26,2.174192,1.386567,0.082326,0.473492,4.981313,2.174192
target_center_periphery_contrast,extra_trees,model:extra_trees:fit=train,test,26,4.792691,3.331175,0.179787,0.853371,9.220567,4.792691
target_center_periphery_contrast,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_center_periphery_contrast,extra_trees,model:extra_trees:fit=train,val,26,3.683092,2.540367,0.139460,0.802099,6.531240,3.683092
target_center_periphery_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.382751,0.967409,0.051871,0.246208,3.262600,1.382751
target_center_periphery_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.974231,1.077187,0.071641,0.087270,2.836433,1.974231
target_center_periphery_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.174314,0.836636,0.044465,0.255740,2.030561,1.174314
target_hot_fraction_q90,mean,constant:mean:fit=train,test,26,0.004282,0.003483,0.039368,0.269529,0.007539,0.004282
target_hot_fraction_q90,mean,constant:mean:fit=train,train,76,0.005446,0.004601,0.050061,0.288435,0.009121,0.005446
target_hot_fraction_q90,mean,constant:mean:fit=train,val,26,0.005015,0.004215,0.046207,0.279134,0.007527,0.005015
target_hot_fraction_q90,knn,model:knn:fit=train,test,26,0.004433,0.003753,0.040754,0.279020,0.008411,0.004433
target_hot_fraction_q90,knn,model:knn:fit=train,train,76,0.004437,0.003800,0.040786,0.234996,0.006332,0.004437
target_hot_fraction_q90,knn,model:knn:fit=train,val,26,0.005309,0.004252,0.048906,0.295442,0.005650,0.005309
target_hot_fraction_q90,extra_trees,model:extra_trees:fit=train,test,26,0.005790,0.004501,0.053231,0.364440,0.010910,0.005790
target_hot_fraction_q90,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_hot_fraction_q90,extra_trees,model:extra_trees:fit=train,val,26,0.005729,0.004827,0.052777,0.318823,0.003924,0.005729
target_hot_fraction_q90,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.005118,0.004172,0.047050,0.322126,0.009828,0.005118
target_hot_fraction_q90,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,0.004494,0.003855,0.041311,0.238016,0.006790,0.004494
